Attributes,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Symbols,ARKQ.US,BATT.US,TAN.US,CNXT.US,CORN.US,FUTY.US,CRUZ.US,DBEM.US,COPX.US,FRDM.US,GCLN.US,GAMR.US,GBF.US,GCOW.US,INCO.US,TEMP.US,THCX.US,TFI.US,TPHD.US,UGA.US,UNG.US,URTH.US,VEGN.US,WUGI.US,XSD.US,PSI.US,XLP.US,CRPT.US,PPTY.US,IHE.US,DAT.US,ARKQ.US,BATT.US,TAN.US,CNXT.US,CORN.US,FUTY.US,CRUZ.US,DBEM.US,COPX.US,FRDM.US,GCLN.US,GAMR.US,GBF.US,GCOW.US,INCO.US,TEMP.US,THCX.US,TFI.US,TPHD.US,UGA.US,UNG.US,URTH.US,VEGN.US,WUGI.US,XSD.US,PSI.US,XLP.US,CRPT.US,PPTY.US,IHE.US,DAT.US,ARKQ.US,BATT.US,TAN.US,CNXT.US,CORN.US,FUTY.US,CRUZ.US,DBEM.US,COPX.US,FRDM.US,GCLN.US,GAMR.US,GBF.US,GCOW.US,INCO.US,TEMP.US,THCX.US,TFI.US,TPHD.US,UGA.US,UNG.US,URTH.US,VEGN.US,WUGI.US,XSD.US,PSI.US,XLP.US,CRPT.US,PPTY.US,IHE.US,DAT.US,ARKQ.US,BATT.US,TAN.US,CNXT.US,CORN.US,FUTY.US,CRUZ.US,DBEM.US,COPX.US,FRDM.US,GCLN.US,GAMR.US,GBF.US,GCOW.US,INCO.US,TEMP.US,THCX.US,TFI.US,TPHD.US,UGA.US,UNG.US,URTH.US,VEGN.US,WUGI.US,XSD.US,PSI.US,XLP.US,CRPT.US,PPTY.US,IHE.US,DAT.US,ARKQ.US,BATT.US,TAN.US,CNXT.US,CORN.US,FUTY.US,CRUZ.US,DBEM.US,COPX.US,FRDM.US,GCLN.US,GAMR.US,GBF.US,GCOW.US,INCO.US,TEMP.US,THCX.US,TFI.US,TPHD.US,UGA.US,UNG.US,URTH.US,VEGN.US,WUGI.US,XSD.US,PSI.US,XLP.US,CRPT.US,PPTY.US,IHE.US,DAT.US
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592505.56034171,,,,
2005-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1349404.6250491,,,,
2005-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600178.86616924,,,,
2005-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560589.39440864,,,,
2005-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388517.51397239,,,,
2005-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3952866.9405974,,,,
2005-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396054.93728625,,,,
2005-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346873.57972909,,,,
